ID,Latitude,Longitude,Date,ET_mm_8d
122-R,24.085389,-110.366992,25/11/2021,5.3
122-R,24.085389,-110.366992,03/12/2021,3.2
122-R,24.085389,-110.366992,11/12/2021,3.8
122-R,24.085389,-110.366992,19/12/2021,3.4
122-R,24.085389,-110.366992,27/12/2021,3.2
122-R,24.085389,-110.366992,01/01/2022,3.1
122-R,24.085389,-110.366992,09/01/2022,2.9
122-R,24.085389,-110.366992,17/01/2022,3.2
122-R,24.085389,-110.366992,25/01/2022,2.9
122-R,24.085389,-110.366992,02/02/2022,3.7
122-R,24.085389,-110.366992,10/02/2022,1.9
122-R,24.085389,-110.366992,18/02/2022,4
122-R,24.085389,-110.366992,26/02/2022,2.8
122-R,24.085389,-110.366992,06/03/2022,2.6
122-R,24.085389,-110.366992,14/03/2022,3
122-R,24.085389,-110.366992,22/03/2022,3
122-R,24.085389,-110.366992,30/03/2022,2.9
122-R,24.085389,-110.366992,07/04/2022,2.7
122-R,24.085389,-110.366992,15/04/2022,2.1
122-R,24.085389,-110.366992,23/04/2022,2.3
122-R,24.085389,-110.366992,01/05/2022,2.8
122-R,24.085389,-110.366992,09/05/2022,1.9
122-R,24.085389,-110.366992,17/05/2022,2.6
122-R,24.085389,-110.366992,25/05/2022,4.1
122-R,24.085389,-110.366992,02/06/2022,2.8
122-R,24.085389,-110.366992,10/06/2022,3.5
122-R,24.085389,-110.366992,18/06/2022,3.5
122-R,24.085389,-110.366992,26/06/2022,4
122-R,24.085389,-110.366992,04/07/2022,1.3
122-R,24.085389,-110.366992,12/07/2022,2.1
122-R,24.085389,-110.366992,20/07/2022,4.7
122-R,24.085389,-110.366992,28/07/2022,2.1
122-R,24.085389,-110.366992,05/08/2022,1.5
122-R,24.085389,-110.366992,13/08/2022,3.2
122-R,24.085389,-110.366992,21/08/2022,3.1
122-R,24.085389,-110.366992,29/08/2022,6.8
122-R,24.085389,-110.366992,06/09/2022,8.8
122-R,24.085389,-110.366992,14/09/2022,7.6
122-R,24.085389,-110.366992,22/09/2022,4.6
122-R,24.085389,-110.366992,30/09/2022,3.5
122-R,24.085389,-110.366992,08/10/2022,4.3
122-R,24.085389,-110.366992,16/10/2022,5.2
122-R,24.085389,-110.366992,24/10/2022,3.1
122-R,24.085389,-110.366992,01/11/2022,3
122-R,24.085389,-110.366992,09/11/2022,4.9
122-R,24.085389,-110.366992,17/11/2022,3.9
122-R,24.085389,-110.366992,25/11/2022,2
122-R,24.085389,-110.366992,03/12/2022,3.3
122-R,24.085389,-110.366992,11/12/2022,3.3
122-R,24.085389,-110.366992,19/12/2022,3
122-R,24.085389,-110.366992,27/12/2022,1.7
122-R,24.085389,-110.366992,01/01/2023,3.2
122-R,24.085389,-110.366992,09/01/2023,3.1
122-R,24.085389,-110.366992,17/01/2023,3.6
122-R,24.085389,-110.366992,25/01/2023,4.5
122-R,24.085389,-110.366992,02/02/2023,4.4
122-R,24.085389,-110.366992,10/02/2023,3
122-R,24.085389,-110.366992,18/02/2023,4.3
122-R,24.085389,-110.366992,26/02/2023,3.3
122-R,24.085389,-110.366992,06/03/2023,2.3
122-R,24.085389,-110.366992,14/03/2023,2.6
122-R,24.085389,-110.366992,22/03/2023,2.9
122-R,24.085389,-110.366992,30/03/2023,2.1
122-R,24.085389,-110.366992,07/04/2023,1.9
122-R,24.085389,-110.366992,15/04/2023,2.7
122-R,24.085389,-110.366992,23/04/2023,2.8
122-R,24.085389,-110.366992,01/05/2023,2.6
122-R,24.085389,-110.366992,09/05/2023,2.5
122-R,24.085389,-110.366992,17/05/2023,3
122-R,24.085389,-110.366992,25/05/2023,3.8
122-R,24.085389,-110.366992,02/06/2023,3.1
122-R,24.085389,-110.366992,10/06/2023,2
122-R,24.085389,-110.366992,18/06/2023,1.8
122-R,24.085389,-110.366992,26/06/2023,2.6
122-R,24.085389,-110.366992,04/07/2023,2.4
122-R,24.085389,-110.366992,12/07/2023,3.7
122-R,24.085389,-110.366992,20/07/2023,3.9
122-R,24.085389,-110.366992,28/07/2023,2.6
122-R,24.085389,-110.366992,05/08/2023,3.2
122-R,24.085389,-110.366992,13/08/2023,5
122-R,24.085389,-110.366992,21/08/2023,3.3
122-R,24.085389,-110.366992,29/08/2023,4.1
122-R,24.085389,-110.366992,06/09/2023,4.6
122-R,24.085389,-110.366992,14/09/2023,2.5
122-R,24.085389,-110.366992,22/09/2023,4
122-R,24.085389,-110.366992,30/09/2023,3.4
122-R,24.085389,-110.366992,08/10/2023,6.3
122-R,24.085389,-110.366992,16/10/2023,6.2
122-R,24.085389,-110.366992,24/10/2023,5.9
122-R,24.085389,-110.366992,01/11/2023,5.8
122-R,24.085389,-110.366992,09/11/2023,5.1
122-R,24.085389,-110.366992,17/11/2023,6.6
122-R,24.085389,-110.366992,25/11/2023,6.4
122-R,24.085389,-110.366992,03/12/2023,4.5
122-R,24.085389,-110.366992,11/12/2023,4.5
122-R,24.085389,-110.366992,19/12/2023,3.9
122-R,24.085389,-110.366992,27/12/2023,1.9
122-R,24.085389,-110.366992,01/01/2024,3
122-R,24.085389,-110.366992,09/01/2024,3.1
122-R,24.085389,-110.366992,17/01/2024,5.1
122-R,24.085389,-110.366992,25/01/2024,3.8
122-R,24.085389,-110.366992,02/02/2024,4.9
122-R,24.085389,-110.366992,10/02/2024,4.1
122-R,24.085389,-110.366992,18/02/2024,3.4
122-R,24.085389,-110.366992,26/02/2024,2.7
122-R,24.085389,-110.366992,05/03/2024,3
122-R,24.085389,-110.366992,13/03/2024,2.9
122-R,24.085389,-110.366992,21/03/2024,2.7
122-R,24.085389,-110.366992,29/03/2024,3.6
122-R,24.085389,-110.366992,06/04/2024,3
122-R,24.085389,-110.366992,14/04/2024,2.2
122-R,24.085389,-110.366992,22/04/2024,2.9
122-R,24.085389,-110.366992,30/04/2024,3.2
122-R,24.085389,-110.366992,08/05/2024,2
122-R,24.085389,-110.366992,16/05/2024,1.4
122-R,24.085389,-110.366992,24/05/2024,1.5
122-R,24.085389,-110.366992,01/06/2024,2.5
122-R,24.085389,-110.366992,09/06/2024,1.8
122-R,24.085389,-110.366992,17/06/2024,3.2
122-R,24.085389,-110.366992,25/06/2024,2.9
122-R,24.085389,-110.366992,03/07/2024,2.2
122-R,24.085389,-110.366992,11/07/2024,3.7
122-R,24.085389,-110.366992,19/07/2024,2.3
122-R,24.085389,-110.366992,27/07/2024,2
122-R,24.085389,-110.366992,04/08/2024,1.8
122-R,24.085389,-110.366992,12/08/2024,2
122-R,24.085389,-110.366992,20/08/2024,1.4
122-R,24.085389,-110.366992,28/08/2024,2
122-R,24.085389,-110.366992,05/09/2024,1.4
122-R,24.085389,-110.366992,13/09/2024,4
122-R,24.085389,-110.366992,21/09/2024,2.8
122-R,24.085389,-110.366992,29/09/2024,4.5
122-R,24.085389,-110.366992,07/10/2024,2.8
122-R,24.085389,-110.366992,15/10/2024,3.1
122-R,24.085389,-110.366992,23/10/2024,2.4
122-R,24.085389,-110.366992,31/10/2024,1.9
122-R,24.085389,-110.366992,08/11/2024,1.6
122-R,24.085389,-110.366992,16/11/2024,2.2
122-R,24.085389,-110.366992,24/11/2024,3.9
122-R,24.085389,-110.366992,02/12/2024,3
122-R,24.085389,-110.366992,10/12/2024,3.4
122-R,24.085389,-110.366992,18/12/2024,1.9
122-R,24.085389,-110.366992,26/12/2024,1.9
122-R,24.085389,-110.366992,01/01/2025,2.5
122-R,24.085389,-110.366992,09/01/2025,3.1
122-R,24.085389,-110.366992,17/01/2025,3.7
122-R,24.085389,-110.366992,25/01/2025,3.7
122-R,24.085389,-110.366992,02/02/2025,2.3
122-R,24.085389,-110.366992,10/02/2025,2.9
122-R,24.085389,-110.366992,18/02/2025,3.1
122-R,24.085389,-110.366992,26/02/2025,2.7
122-R,24.085389,-110.366992,06/03/2025,2.6
122-R,24.085389,-110.366992,14/03/2025,2.7
122-R,24.085389,-110.366992,22/03/2025,2.7
122-R,24.085389,-110.366992,30/03/2025,2.2
122-R,24.085389,-110.366992,07/04/2025,1.4
122-R,24.085389,-110.366992,15/04/2025,2.2
122-R,24.085389,-110.366992,23/04/2025,2.5
122-R,24.085389,-110.366992,01/05/2025,2.6
122-R,24.085389,-110.366992,09/05/2025,2
122-R,24.085389,-110.366992,17/05/2025,2
122-R,24.085389,-110.366992,25/05/2025,4.3
122-R,24.085389,-110.366992,02/06/2025,2.9
122-R,24.085389,-110.366992,10/06/2025,3.3
122-R,24.085389,-110.366992,18/06/2025,3.1
122-R,24.085389,-110.366992,26/06/2025,2.6
122-R,24.085389,-110.366992,04/07/2025,4.5
122-R,24.085389,-110.366992,12/07/2025,2.6
128,24.089719,-110.312672,01/01/2021,2.8
128,24.089719,-110.312672,09/01/2021,2.1
128,24.089719,-110.312672,17/01/2021,6.8
128,24.089719,-110.312672,25/01/2021,4.4
128,24.089719,-110.312672,02/02/2021,1.8
128,24.089719,-110.312672,10/02/2021,2.9
128,24.089719,-110.312672,18/02/2021,2.8
128,24.089719,-110.312672,26/02/2021,2.3
128,24.089719,-110.312672,06/03/2021,2.6
128,24.089719,-110.312672,14/03/2021,1.7
128,24.089719,-110.312672,22/03/2021,2.2
128,24.089719,-110.312672,30/03/2021,1.6
128,24.089719,-110.312672,07/04/2021,2.3
128,24.089719,-110.312672,15/04/2021,2
128,24.089719,-110.312672,23/04/2021,2.4
128,24.089719,-110.312672,01/05/2021,2.3
128,24.089719,-110.312672,09/05/2021,1.2
128,24.089719,-110.312672,17/05/2021,1.5
128,24.089719,-110.312672,25/05/2021,1.5
128,24.089719,-110.312672,02/06/2021,0.7
128,24.089719,-110.312672,10/06/2021,1.2
128,24.089719,-110.312672,18/06/2021,1.7
128,24.089719,-110.312672,26/06/2021,3.1
128,24.089719,-110.312672,04/07/2021,1.6
128,24.089719,-110.312672,12/07/2021,2.3
128,24.089719,-110.312672,20/07/2021,1.3
128,24.089719,-110.312672,28/07/2021,1.5
128,24.089719,-110.312672,05/08/2021,5
128,24.089719,-110.312672,13/08/2021,3.6
128,24.089719,-110.312672,21/08/2021,3.7
128,24.089719,-110.312672,29/08/2021,3.1
128,24.089719,-110.312672,06/09/2021,6
128,24.089719,-110.312672,14/09/2021,5.2
128,24.089719,-110.312672,22/09/2021,4.9
128,24.089719,-110.312672,30/09/2021,5.1
128,24.089719,-110.312672,08/10/2021,4.6
128,24.089719,-110.312672,16/10/2021,4.3
128,24.089719,-110.312672,24/10/2021,3.7
128,24.089719,-110.312672,01/11/2021,2.2
128,24.089719,-110.312672,09/11/2021,2.2
128,24.089719,-110.312672,17/11/2021,2.2
128,24.089719,-110.312672,25/11/2021,5.2
128,24.089719,-110.312672,03/12/2021,2.6
128,24.089719,-110.312672,11/12/2021,4.1
128,24.089719,-110.312672,19/12/2021,2.7
128,24.089719,-110.312672,27/12/2021,3.3
128,24.089719,-110.312672,01/01/2022,2.8
128,24.089719,-110.312672,09/01/2022,2.9
128,24.089719,-110.312672,17/01/2022,2.9
128,24.089719,-110.312672,25/01/2022,2.3
128,24.089719,-110.312672,02/02/2022,3.2
128,24.089719,-110.312672,10/02/2022,2.1
128,24.089719,-110.312672,18/02/2022,2.8
128,24.089719,-110.312672,26/02/2022,2.6
128,24.089719,-110.312672,06/03/2022,2.5
128,24.089719,-110.312672,14/03/2022,2.2
128,24.089719,-110.312672,22/03/2022,2.3
128,24.089719,-110.312672,30/03/2022,2.5
128,24.089719,-110.312672,07/04/2022,2.6
128,24.089719,-110.312672,15/04/2022,1.8
128,24.089719,-110.312672,23/04/2022,2
128,24.089719,-110.312672,01/05/2022,2.9
128,24.089719,-110.312672,09/05/2022,1.1
128,24.089719,-110.312672,17/05/2022,2.6
128,24.089719,-110.312672,25/05/2022,2.4
128,24.089719,-110.312672,02/06/2022,2.2
128,24.089719,-110.312672,10/06/2022,1.7
128,24.089719,-110.312672,18/06/2022,3.2
128,24.089719,-110.312672,26/06/2022,3.4
128,24.089719,-110.312672,04/07/2022,1.3
128,24.089719,-110.312672,12/07/2022,1.5
128,24.089719,-110.312672,20/07/2022,2.1
128,24.089719,-110.312672,28/07/2022,1.4
128,24.089719,-110.312672,05/08/2022,1.4
128,24.089719,-110.312672,13/08/2022,2.8
128,24.089719,-110.312672,21/08/2022,2.6
128,24.089719,-110.312672,29/08/2022,7.6
128,24.089719,-110.312672,06/09/2022,8.5
128,24.089719,-110.312672,14/09/2022,6.6
128,24.089719,-110.312672,22/09/2022,4.3
128,24.089719,-110.312672,30/09/2022,3.1
128,24.089719,-110.312672,08/10/2022,2.8
128,24.089719,-110.312672,16/10/2022,4.2
128,24.089719,-110.312672,24/10/2022,2.3
128,24.089719,-110.312672,01/11/2022,3.1
128,24.089719,-110.312672,09/11/2022,5
128,24.089719,-110.312672,17/11/2022,3.7
128,24.089719,-110.312672,25/11/2022,2.1
128,24.089719,-110.312672,03/12/2022,3.4
128,24.089719,-110.312672,11/12/2022,3.5
128,24.089719,-110.312672,19/12/2022,2.6
128,24.089719,-110.312672,27/12/2022,1.7
128,24.089719,-110.312672,01/01/2023,3.4
128,24.089719,-110.312672,09/01/2023,2
128,24.089719,-110.312672,17/01/2023,3.5
128,24.089719,-110.312672,25/01/2023,4.2
128,24.089719,-110.312672,02/02/2023,2.7
128,24.089719,-110.312672,10/02/2023,3.2
128,24.089719,-110.312672,18/02/2023,4.7
128,24.089719,-110.312672,26/02/2023,3.7
128,24.089719,-110.312672,06/03/2023,2.2
128,24.089719,-110.312672,14/03/2023,2.3
128,24.089719,-110.312672,22/03/2023,2.4
128,24.089719,-110.312672,30/03/2023,2
128,24.089719,-110.312672,07/04/2023,1.6
128,24.089719,-110.312672,15/04/2023,2.3
128,24.089719,-110.312672,23/04/2023,2
128,24.089719,-110.312672,01/05/2023,2.4
128,24.089719,-110.312672,09/05/2023,2.4
128,24.089719,-110.312672,17/05/2023,2.3
128,24.089719,-110.312672,25/05/2023,2.8
128,24.089719,-110.312672,02/06/2023,2.6
128,24.089719,-110.312672,10/06/2023,1.5
128,24.089719,-110.312672,18/06/2023,1.7
128,24.089719,-110.312672,26/06/2023,2.4
128,24.089719,-110.312672,04/07/2023,2.3
128,24.089719,-110.312672,12/07/2023,2.3
128,24.089719,-110.312672,20/07/2023,1.7
128,24.089719,-110.312672,28/07/2023,1.4
128,24.089719,-110.312672,05/08/2023,2.9
128,24.089719,-110.312672,13/08/2023,4.6
128,24.089719,-110.312672,21/08/2023,3.4
128,24.089719,-110.312672,29/08/2023,4.2
128,24.089719,-110.312672,06/09/2023,4.7
128,24.089719,-110.312672,14/09/2023,2.2
128,24.089719,-110.312672,22/09/2023,2.5
128,24.089719,-110.312672,30/09/2023,2
128,24.089719,-110.312672,08/10/2023,5
128,24.089719,-110.312672,16/10/2023,6.3
128,24.089719,-110.312672,24/10/2023,4.8
128,24.089719,-110.312672,01/11/2023,4.1
128,24.089719,-110.312672,09/11/2023,3.5
128,24.089719,-110.312672,17/11/2023,5
128,24.089719,-110.312672,25/11/2023,4.3
128,24.089719,-110.312672,03/12/2023,2.7
128,24.089719,-110.312672,11/12/2023,2.6
128,24.089719,-110.312672,19/12/2023,4.1
128,24.089719,-110.312672,27/12/2023,1.4
128,24.089719,-110.312672,01/01/2024,3.2
128,24.089719,-110.312672,09/01/2024,2.9
128,24.089719,-110.312672,17/01/2024,4.3
128,24.089719,-110.312672,25/01/2024,2.5
128,24.089719,-110.312672,02/02/2024,3.7
128,24.089719,-110.312672,10/02/2024,3.4
128,24.089719,-110.312672,18/02/2024,2.9
128,24.089719,-110.312672,26/02/2024,2.6
128,24.089719,-110.312672,05/03/2024,3
128,24.089719,-110.312672,13/03/2024,2.7
128,24.089719,-110.312672,21/03/2024,2.2
128,24.089719,-110.312672,29/03/2024,3.2
128,24.089719,-110.312672,06/04/2024,2.7
128,24.089719,-110.312672,14/04/2024,1.9
128,24.089719,-110.312672,22/04/2024,2
128,24.089719,-110.312672,30/04/2024,2.4
128,24.089719,-110.312672,08/05/2024,1.2
128,24.089719,-110.312672,16/05/2024,0.6
128,24.089719,-110.312672,24/05/2024,0.9
128,24.089719,-110.312672,01/06/2024,1.8
128,24.089719,-110.312672,09/06/2024,1.6
128,24.089719,-110.312672,17/06/2024,2.3
128,24.089719,-110.312672,25/06/2024,2.7
128,24.089719,-110.312672,03/07/2024,1.7
128,24.089719,-110.312672,11/07/2024,1.9
128,24.089719,-110.312672,19/07/2024,1.5
128,24.089719,-110.312672,27/07/2024,1.2
128,24.089719,-110.312672,04/08/2024,1.8
128,24.089719,-110.312672,12/08/2024,1.4
128,24.089719,-110.312672,20/08/2024,1.2
128,24.089719,-110.312672,28/08/2024,1.3
128,24.089719,-110.312672,05/09/2024,1.1
128,24.089719,-110.312672,13/09/2024,2.9
128,24.089719,-110.312672,21/09/2024,2.6
128,24.089719,-110.312672,29/09/2024,4.4
128,24.089719,-110.312672,07/10/2024,2.5
128,24.089719,-110.312672,15/10/2024,3
128,24.089719,-110.312672,23/10/2024,2.1
128,24.089719,-110.312672,31/10/2024,1.9
128,24.089719,-110.312672,08/11/2024,1.5
128,24.089719,-110.312672,16/11/2024,1.9
128,24.089719,-110.312672,24/11/2024,2.8
128,24.089719,-110.312672,02/12/2024,2
128,24.089719,-110.312672,10/12/2024,2.8
128,24.089719,-110.312672,18/12/2024,2
128,24.089719,-110.312672,26/12/2024,1.7
128,24.089719,-110.312672,01/01/2025,2.4
128,24.089719,-110.312672,09/01/2025,2.9
128,24.089719,-110.312672,17/01/2025,3.4
128,24.089719,-110.312672,25/01/2025,4.2
128,24.089719,-110.312672,02/02/2025,2.6
128,24.089719,-110.312672,10/02/2025,2.8
128,24.089719,-110.312672,18/02/2025,2.6
128,24.089719,-110.312672,26/02/2025,2
128,24.089719,-110.312672,06/03/2025,2.7
128,24.089719,-110.312672,14/03/2025,2.6
128,24.089719,-110.312672,22/03/2025,2.5
128,24.089719,-110.312672,30/03/2025,2
128,24.089719,-110.312672,07/04/2025,1.4
128,24.089719,-110.312672,15/04/2025,2
128,24.089719,-110.312672,23/04/2025,2.5
128,24.089719,-110.312672,01/05/2025,2
128,24.089719,-110.312672,09/05/2025,1.7
128,24.089719,-110.312672,17/05/2025,1.4
128,24.089719,-110.312672,25/05/2025,4.3
128,24.089719,-110.312672,02/06/2025,2.9
128,24.089719,-110.312672,10/06/2025,2.8
128,24.089719,-110.312672,18/06/2025,2.8
128,24.089719,-110.312672,26/06/2025,2.5
128,24.089719,-110.312672,04/07/2025,4.4
128,24.089719,-110.312672,12/07/2025,1.6
129-B,24.098483,-110.316931,01/01/2021,3.5
129-B,24.098483,-110.316931,09/01/2021,2.4
129-B,24.098483,-110.316931,17/01/2021,6.9
129-B,24.098483,-110.316931,25/01/2021,5
129-B,24.098483,-110.316931,02/02/2021,1.9
129-B,24.098483,-110.316931,10/02/2021,2.9
129-B,24.098483,-110.316931,18/02/2021,2.8
129-B,24.098483,-110.316931,26/02/2021,2.4
129-B,24.098483,-110.316931,06/03/2021,2.6
129-B,24.098483,-110.316931,14/03/2021,2.1
129-B,24.098483,-110.316931,22/03/2021,2.2
129-B,24.098483,-110.316931,30/03/2021,1.5
129-B,24.098483,-110.316931,07/04/2021,2.3
129-B,24.098483,-110.316931,15/04/2021,2.1
129-B,24.098483,-110.316931,23/04/2021,2.4
129-B,24.098483,-110.316931,01/05/2021,2.3
129-B,24.098483,-110.316931,09/05/2021,1.2
129-B,24.098483,-110.316931,17/05/2021,1.7
129-B,24.098483,-110.316931,25/05/2021,1.5
129-B,24.098483,-110.316931,02/06/2021,0.8
129-B,24.098483,-110.316931,10/06/2021,1.3
129-B,24.098483,-110.316931,18/06/2021,1.6
129-B,24.098483,-110.316931,26/06/2021,3.1
129-B,24.098483,-110.316931,04/07/2021,1.6
129-B,24.098483,-110.316931,12/07/2021,2.3
129-B,24.098483,-110.316931,20/07/2021,1.2
129-B,24.098483,-110.316931,28/07/2021,1.6
129-B,24.098483,-110.316931,05/08/2021,5
129-B,24.098483,-110.316931,13/08/2021,3.6
129-B,24.098483,-110.316931,21/08/2021,3.7
129-B,24.098483,-110.316931,29/08/2021,3.2
129-B,24.098483,-110.316931,06/09/2021,6.1
129-B,24.098483,-110.316931,14/09/2021,6.6
129-B,24.098483,-110.316931,22/09/2021,7.1
129-B,24.098483,-110.316931,30/09/2021,7.1
129-B,24.098483,-110.316931,08/10/2021,6.9
129-B,24.098483,-110.316931,16/10/2021,5.7
129-B,24.098483,-110.316931,24/10/2021,3.9
129-B,24.098483,-110.316931,01/11/2021,2.9
129-B,24.098483,-110.316931,09/11/2021,3.4
129-B,24.098483,-110.316931,17/11/2021,2.8
129-B,24.098483,-110.316931,25/11/2021,5.2
129-B,24.098483,-110.316931,03/12/2021,2.8
129-B,24.098483,-110.316931,11/12/2021,4.1
129-B,24.098483,-110.316931,19/12/2021,3.1
129-B,24.098483,-110.316931,27/12/2021,3.4
129-B,24.098483,-110.316931,01/01/2022,3.5
129-B,24.098483,-110.316931,09/01/2022,2.9
129-B,24.098483,-110.316931,17/01/2022,3.1
129-B,24.098483,-110.316931,25/01/2022,1.9
129-B,24.098483,-110.316931,02/02/2022,3.2
129-B,24.098483,-110.316931,10/02/2022,2
129-B,24.098483,-110.316931,18/02/2022,2.8
129-B,24.098483,-110.316931,26/02/2022,2.6
129-B,24.098483,-110.316931,06/03/2022,3
129-B,24.098483,-110.316931,14/03/2022,2.3
129-B,24.098483,-110.316931,22/03/2022,2.3
129-B,24.098483,-110.316931,30/03/2022,2.6
129-B,24.098483,-110.316931,07/04/2022,2.7
129-B,24.098483,-110.316931,15/04/2022,1.8
129-B,24.098483,-110.316931,23/04/2022,2.1
129-B,24.098483,-110.316931,01/05/2022,2.9
129-B,24.098483,-110.316931,09/05/2022,1.1
129-B,24.098483,-110.316931,17/05/2022,2.6
129-B,24.098483,-110.316931,25/05/2022,2.4
129-B,24.098483,-110.316931,02/06/2022,2.9
129-B,24.098483,-110.316931,10/06/2022,2.5
129-B,24.098483,-110.316931,18/06/2022,3.1
129-B,24.098483,-110.316931,26/06/2022,3.5
129-B,24.098483,-110.316931,04/07/2022,1.7
129-B,24.098483,-110.316931,12/07/2022,1.6
129-B,24.098483,-110.316931,20/07/2022,2.2
129-B,24.098483,-110.316931,28/07/2022,1.5
129-B,24.098483,-110.316931,05/08/2022,2
129-B,24.098483,-110.316931,13/08/2022,2.9
129-B,24.098483,-110.316931,21/08/2022,2.6
129-B,24.098483,-110.316931,29/08/2022,7.6
129-B,24.098483,-110.316931,06/09/2022,9.7
129-B,24.098483,-110.316931,14/09/2022,7.9
129-B,24.098483,-110.316931,22/09/2022,6.2
129-B,24.098483,-110.316931,30/09/2022,5.7
129-B,24.098483,-110.316931,08/10/2022,3.5
129-B,24.098483,-110.316931,16/10/2022,4.6
129-B,24.098483,-110.316931,24/10/2022,2.8
129-B,24.098483,-110.316931,01/11/2022,3.5
129-B,24.098483,-110.316931,09/11/2022,5.3
129-B,24.098483,-110.316931,17/11/2022,4
129-B,24.098483,-110.316931,25/11/2022,2.5
129-B,24.098483,-110.316931,03/12/2022,3.8
129-B,24.098483,-110.316931,11/12/2022,3.8
129-B,24.098483,-110.316931,19/12/2022,2.9
129-B,24.098483,-110.316931,27/12/2022,1.9
129-B,24.098483,-110.316931,01/01/2023,3.7
129-B,24.098483,-110.316931,09/01/2023,2
129-B,24.098483,-110.316931,17/01/2023,3.5
129-B,24.098483,-110.316931,25/01/2023,4.4
129-B,24.098483,-110.316931,02/02/2023,2.7
129-B,24.098483,-110.316931,10/02/2023,3.2
129-B,24.098483,-110.316931,18/02/2023,4.7
129-B,24.098483,-110.316931,26/02/2023,3.7
129-B,24.098483,-110.316931,06/03/2023,2.3
129-B,24.098483,-110.316931,14/03/2023,2.8
129-B,24.098483,-110.316931,22/03/2023,2.4
129-B,24.098483,-110.316931,30/03/2023,1.9
129-B,24.098483,-110.316931,07/04/2023,1.8
129-B,24.098483,-110.316931,15/04/2023,2.9
129-B,24.098483,-110.316931,23/04/2023,2.2
129-B,24.098483,-110.316931,01/05/2023,2.4
129-B,24.098483,-110.316931,09/05/2023,2.5
129-B,24.098483,-110.316931,17/05/2023,2.3
129-B,24.098483,-110.316931,25/05/2023,2.9
129-B,24.098483,-110.316931,02/06/2023,2.7
129-B,24.098483,-110.316931,10/06/2023,1.4
129-B,24.098483,-110.316931,18/06/2023,1.7
129-B,24.098483,-110.316931,26/06/2023,2.4
129-B,24.098483,-110.316931,04/07/2023,2.3
129-B,24.098483,-110.316931,12/07/2023,2.3
129-B,24.098483,-110.316931,20/07/2023,1.7
129-B,24.098483,-110.316931,28/07/2023,1.5
129-B,24.098483,-110.316931,05/08/2023,2.9
129-B,24.098483,-110.316931,13/08/2023,4.6
129-B,24.098483,-110.316931,21/08/2023,3.4
129-B,24.098483,-110.316931,29/08/2023,4.7
129-B,24.098483,-110.316931,06/09/2023,7
129-B,24.098483,-110.316931,14/09/2023,5.2
129-B,24.098483,-110.316931,22/09/2023,3.3
129-B,24.098483,-110.316931,30/09/2023,2.5
129-B,24.098483,-110.316931,08/10/2023,5.8
129-B,24.098483,-110.316931,16/10/2023,7.4
129-B,24.098483,-110.316931,24/10/2023,6.2
129-B,24.098483,-110.316931,01/11/2023,5.3
129-B,24.098483,-110.316931,09/11/2023,6.2
129-B,24.098483,-110.316931,17/11/2023,6
129-B,24.098483,-110.316931,25/11/2023,4.3
129-B,24.098483,-110.316931,03/12/2023,3.7
129-B,24.098483,-110.316931,11/12/2023,4.2
129-B,24.098483,-110.316931,19/12/2023,4.1
129-B,24.098483,-110.316931,27/12/2023,1.6
129-B,24.098483,-110.316931,01/01/2024,3.9
